id_vehicule,id_pays,type_vehicule,manoeuvre,nb_occupants,motorisation
436,826,Agricultural vehicle,Slowing or stopping,5,Heavy oil
437,826,Motorcycle over 500cc,Going ahead,1,Petrol
438,826,Bus or coach (17+ passenger seats),Unknown,0,Heavy oil
439,826,Bus or coach (17+ passenger seats),Overtaking on nearside,0,Heavy oil
440,826,Bus or coach (17+ passenger seats),Changing lane to left,0,Heavy oil
441,826,Goods vehicle over 3.5t and up to 7.5t,Overtaking on nearside,0,Unknown
442,826,Goods vehicle over 7.5t,Turning left,1,Gas
443,826,Car,Parked,3,Heavy oil
444,826,Car,Waiting to go ahead,,Heavy oil
445,826,Taxi/Private hire car,Parked,0,Petrol
446,826,Car,Moving off,0,Gas/Bi-fuel
447,826,Goods vehicle over 7.5t,Overtaking moving vehicle on offside,0,Unknown
448,826,Goods vehicle over 7.5t,U-turn,1,Heavy oil
449,826,Goods vehicle over 3.5t and up to 7.5t,Turning left,4,Heavy oil
450,826,Goods vehicle over 7.5t,Going ahead,5,Unknown
451,826,Goods vehicle over 3.5t and up to 7.5t,Parked,1,Unknown
452,826,Other vehicle,Waiting to go ahead,0,Unknown
453,826,Van/Goods vehicle 3.5t and under,Overtaking on nearside,0,Unknown
